Word,Meaning
goad,smth urging a person to action      
dupe,cheat make a fool of       
pique,hurt the pride or self-respect stir (curiosity)     
apostate,one who abandons long-held religious or political convictions    
imperative,urgent essential          
sanguine,cheerful confident optimistic         
extol,praise highly          
ulterior,situated beyond          
supercilious,disdainful characterized by haughty scorn       
dilate,speak comprehensively become wider large       
abhor,to hate to detest        
turbulence,being uncontrolled violent         
sash,long strip worn round the waist    
resuscitation,coming back to consciousness        
waft,scent waving movement carry lightly through      
paucity,scarcity a lacking of        
conceal,hide keep secret         
congeal,make or become stiff and solid      
connotation,suggestion in addition to        
endemic,epidemic           
hush,make or become silent      
soot,black powder in smoke        
aseptic,surgically clean        
benign,kind and gentle mild (climate)       
uncouth,rough awkward          
hypocrisy,falsely making oneself appear to be good     
contumacious,insubordinate rebellious          
deter,discourage hinder          
disinter,dig up from the earth       
finesse,delicate way of dealing with a situation     
dolt,stupid fellow          
odium,contempt dislike aversion         
benevolence,wish or activity in doing good      
presumption,arrogance         
indelible,that cannot be rubbed out       
sobriety,quality or condition of being sober      
germane,relevant pertinent to         
boorish,crude offensive rude         
preternatural,not normal or usual        
regicide,crime of killing a king       
garrulity,talkativeness           
sophistry,fallacious reasoning faulty logic        
temperance,abstinence from alcohol self-control moderation       
astringent,substance that shrinks         
hew,make by hard work cut (by striking)     
scorch,become discolored/dry up/go at high speed    
meticulous,giving great attention to details       
importune,beg urgently solicit (of a prostitute)      
plumb,get to the root of       
unfeigned,not pretended sincere         
veneration,regard with deep respect        
beatify,to bless make happy or ascribe a virtue to   
discern,see with an effort but clearly      
verdant,fresh and green       
revere,have deep respect for        
patron,regular customer person who gives support      
tout,person who worries others to buy smth to use his service 
bewilder,puzzle confuse          
bolster,give greatly needed support        
somatic,of the body         
quotidian,banal everyday          
reiterate,say or do again several times      
earthenware,dishes made of baked clay       
hirsute,hairy shaggy          
contentious,argumentative pugnacious combative quarrelsome        
expatiate,to roam wander freely        
vigilance,watchfulness self-appointed group who maintain order      
impending,imminent being about to happen expected      
equivocate,try to deceive by equivocal language      
barrage,artificial obstacle built across a river      
auspicious,favorable successful prosperous         
philistine,a smug ignorant person one who lacks knowledge    
intrepid,fearless brave undaunted         
conceit,over-high opinion of too much pride      
boisterous,loud noisy rough lacking restraint       
pious,dutiful to parents devoted to religion      
inured,accustomed to adapted         
peregrination,traveling about wandering         
apartheid,brutal racial discrimination         
warrant,authority written order guarantee        
ineptitude,quality of being unskillful      
squalid,foul filthy          
fallacious,based on error         
prudence,careful forethought          
consternation,surprise and fear dismay        
denouement,an outcome or solution the unraveling of a plot   
exscind,to cut out cut away       
incursion,a raid a sudden attack       
odor,smell favor reputation         
splenetic,bad-tempered irritable          
imperviousness,haughty arrogant commanding         
hallow,to make holy consecrate        
reciprocity,granting of privileges in return for similar     
conciliatory,reconciling soothing comforting mollifying        
tangential,suddenly changeable          
quibble,try to avoid by sophistication       
plummet,fall plunge steeply         
contiguous,touching neighboring near         
punctilious,precise paying attention to trivialities       
impugned,challenged to be doubted        
sedulous,persevering           
fatuous,without sense foolish self-satisfaction        
extralegal,outside the law         
equipoise,equal distribution of weight equilibrium       
covetous,eagerly desirous          
glimmer,weak/unsteady light        
tarnished,lost brightness          
sundry,various miscellaneous separate         
reactionary,opposing progress          
suppliant,asking humbly beseeching         
effluvia,outflow in a stream of particles a noxious odor or vapor 
servile,like a slave lacking independence       
bask,in enjoy warmth and light       
paean,song of praise or triumph       
abraded,rubbed off worn away by friction      
obstreperous,noisy loud          
regale,to delight or entertain to feast      
attune,bring into harmony       
encumbrance,burden things that get on the way of    
truce,(agreement) stop of fighting for a time   
maverick,rebel nonconformist          
fawn,young deer try to win smb's favor     
lithe,bending twisting          
pliant,pliable easily bent shaped or twisted      
sanity,health of mind soundness of judgement      
entangle,put into difficulties         
morbid,diseased unhealthy (e.g.. about ideas)       
quell,suppress subdue          
elegy,a lament a melancholy composition       
lustrous,being bright polished         
dislodge,move force from the place occupied      
probity,uprightness incorruptibility principle         
hack,cut roughly hired horse        
convoke,call together summon         
effrontery,boldness impudence arrogance         
testiness,witness/evidence         
berate,scold sharply          
lien,legal claim until a debt on it is repaid   
requite,repay give in return        
harangue,a long passionate speech        
facetious,humorous funny jocular         
consequential,pompous self important         
feint,pretend           
auxiliary,helping supporting          
temerity,boldness brashness intrepidness         
stigma,mark of shame or disgrace       
interdict,prohibit forbid          
enthral,please greatly/enslave (fig)       
panegyric,formal praise eulogy         
trudge,walk heavily          
dote,show much fondness center one's attention      
illicit,unlawful forbidden          
redeem,get back by payment compensate       
gouge,tool for cutting grooves in wood      
platitude,a trite or banal statement unoriginality      
fret,worry irritation wear away        
discredit,refuse to believe         
nadir,lowest weakest point         
endorse,write one's name on the back of     
empirical,relying on experiment         
abate,to lessen to subside        
prodigious,enormous wonderful          
puissance,strength         
untoward,unfortunate inconvenient          
salacious,obscene           
propitiatory,conciliatory appeasing mitigating         
warmonger,person who stirs up war       
pry,get smth inquire too curiously       
sophisticated,complex subtle refined         
gorge,eat greedily/narrow opening with a stream    
enervate,weaken deprive of strength attenuate       
stray,wander lose one's way        
tenacity,firmness persistency adhesiveness tending to hang on     
disproof,proof to the contrary      
pristine,primitive unspoiled pure as in earlier times unadulterated    
harrow,to distress create stress or torment      
shallow,little depth not earnest        
cryptic,secret with a hidden meaning       
conjoin,to join together         
engrave,impress deeply          
oblivious,unaware having no memory        
itinerate,to travel from place to place to peregrinate    
nascent,coming into existence emerging        
hermetic,sealed by fusion         
quack,person dishonestly claiming to smth       
moderation,quality of being limited not extreme      
muffler,cloth worn round the neck/silencer     
denigrate,blacken belittle sully defame        
thwart,obstruct/frustrate         
atonement,repayment death of Jesus        
supersede,take the place of        
falter,waver/move in an uncertain manner     
diffidence,shyness           
holster,leather case for a pistol       
ferocity,savage cruelty          
alcove,recess/partially enclosed place       
repast,meal           
maul,hurt by rough handling      
garner,to gather and save to store up     
heed,attention/give notice to       
pundit,pedant authority on a subject       
stickler,person who insists on importance of smth     
squat,crouch/settle without permission       
enduring,lasting           
irksome,tiresome           
ecumenical,representing the whole Christian world       
ail,trouble be ill         
ebullience,exuberance outburst of feeling        
condone,forgive           
severance,severing           
ostentation,display to obtain admiration or envy      
exhaustive,complete thorough          
cadge,to beg to get by begging      
calipers,metal supports attached to the legs measuring instrument    
poncho,large piece of cloth      
writ,written order        
abscond,to go away suddenly (to avoid arrest)     
disconcert,upset the self-possession of        
parsimonious,too economical miserly         
occluded,blocked up          
evince,to show clearly to indicate       
affinity,close connection relationship         
figurehead,carved image on the prow of a ship    
blatant,noisy and rough         
apt,well-suited quick-witted          
legacy,smth handed down from ancestors       
slake,to assuage to satisfy allay       
turmoil,trouble disturbance          
graze,touch or scrape lightly in passing    
console,give comfort or sympathy to       
picaresque,involving clever rogues or adventurers       
supine,lying on the back slow to act passive    
obtain,to be established accepted or customary      
cower,crouch shrink back         
vanquish,conquer           
trenchant,forceful effective vigorous extremely perceptive incisive      
foolproof,incapable of failure or error     
fulsome,disgusting offensive due to excessiveness       
avid,eager greedy          
allegiance,duty support loyalty         
pusillanimous,cowardly craven          
fleet,number of ships quick-moving        
dexterity,skill (esp. in handling)        
impervious,not allowing to pass through (of materials)     
concur,agree in opinion happen together       
ebullient,overflowing with enthusiasm showing excitement       
palatial,magnificent           
sententious,short and pithy full of maxims/proverbs      
concord,agreement or harmony         
quaff,drink deeply          
correlate,have a mutual relation        
phlegmatic,calm sluggish temperament unemotional        
recalcitrant,disobedient           
apropos,appropriate to the situation apt       
disheveled,untidy           
exoneration,set smb clear free (e.g.. from blame)     
esoteric,abstruse intended only for a small circle of    
petrous,like a rock hard stony       
prolix,tiring because too long        
impetuous,having sudden energy impulsive thrusting ahead forceful     
euthanasia,easy and painless death        
ambidextrous,able to use the left hand or the right equally well 
quail,lose courage turn frightened        
brittle,easily broken          
garrulous,too talkative          
knit,draw together unite firmly        
ardor,enthusiasm           
rescind,repeal/annul/cancel         
rivet,fix take up secure metal pin      
impiety,lack of reverence or dutifulness       
evoke,call up bring out        
surcharge,additional load/charge        
toady,obsequious flatterer        
evasive,tending to evade       
bequest,arrangement to give smth at death      
wag,merry person          
commuter,person who travels regularly        
consume,get to the end of       
salubrious,healthful           
erratic,irregular in behaviour or opinion       
derivative,unoriginal obtained from another source       
acclaimed,welcomed with shouts and approval       
rapacious,greedy (esp for money)        
dulcet,melodious harmonious          
unearth,discover and bring to light     
imminent,likely to come or happen soon      
trifling,unimportant           
obloquy,abusively detractive language sharp criticism vituperation      
rotund,rich and deep plump and round      
snub,treat with contempt       
incense,make angry          
unencumbered,easy-going trifle          
cogitate,think deeply mediate         
dwarf,person or smb much below the usual size    
censure,expression of blame or disapproval a rebuke     
alleviate,make (pain) easier to bear       
prodigal,wasteful reckless with money        
nonchalant,not having interest         
finical,too fussy about food clothing etc.      
cornucopia,abundant supply        
ignominious,shameful dishonorable undignified disgraceful        
loquacious,talkative garrulous          
suppress,prevent from being known put an end to    
aberration,straying away from what is normal      
ferret,discover by searching search        
yarn,tale story fibers for knitting       
quirk,habit or action peculiar to smb or smth    
cumbersome,burdensome heavy and awkward to carry      
fidelity,loyalty accuracy          
indefatigability,not easily exhaustible tirelessness        
castigate,to chastise correct by punishing       
wince,show bodily or mental pain       
pluck,pull the feathers off pick (e.g.. flowers)     
intersperse,place here and there        
centurion,leader of a unit of 100 soldiers     
timorous,fearful timid afraid         
brazen,made of brass         
gregarious,living in societies liking the company      
crush,press lose shape subdue overwhelm       
candid,frank straight-forward          
scent,smell (esp pleasant)         
prune,dried plum silly person        
fledged,able to fly trained experienced       
mettle,quality of endurance or courage       
affable,polite and friendly       
engender,cause produce give rise to       
grievous,causing grief or pain serious dire grave     
stentorian,extremely loud and powerful        
preponderance,greatness in number strength weight       
defiance,open disobedience or resistance        
turpitude,wickedness shamefulness          
dereliction,deserting and leaving to fall into ruins     
pitfall,covered hole as a trap unsuspected danger     
thrift,care economy thriving prosperous        
palpitate,tremble beat rapidly and irregularly       
sawdust,tiny bits of wood        
prudish,easily shocked excessively modest        
amalgamate,mix combine unite societies        
ineluctable,certain inevitable          
equilibrium,state of being balanced        
mundane,worldly as opposed to spiritual commonplace everyday     
mettlesome,courageous high-spirited          
lope,move along with long strides     
noisome,offensive disgusting (smell)         
gainsay,to deny to oppose
reprobate,person hardened in sin one devoid of decency    
abrogate,repeal or annul by authority       
recluse,person who lives alone and avoids people     
bereft,rob or dispossess of smth (material)      
chastisement,punishment           
resilience,quality of quickly recovering the original shape     
crease,line made by crushing white line on the ground in cricket 
inscrutable,incapable of being discovered or understood      
accretion,the growing of separate things into one     
indistinct,not easily heard seen clearly marked      
complaisance,tending to comply obliging willingness to please     
augury,omen sign          
ruffian,violent cruel man         
homiletics,act of preaching       
drowsiness,feeling sleepy half asleep        
exculpate,to clear from a charge of guilt     
umbrage,offense resentment          
surfeit,satiate feed to fulness or to excess     
flinch,draw move back wince        
conspicuous,easily seen remarkable         
breach,opening broken place breaking        
desuetude,cessation of use disuse        
cajole,use flattery or deceit to persuade    
deprave,make morally bad corrupt        
accolade,praise approval          
suffice,be enough          
odious,repulsive hateful          
prim,neat formal          
lurk,be out of view ready to attack   
verisimilitude,appearing TRUE or real        
soar,rise fly high         
sinuous,winding undulating serpentine         
misanthrope,person who hates mankind        
stygian,hence dark gloomy         
palpability,can be felt touched understood       
transitory,brief           
repine,at be discontented with        
pellucid,transparent easy to understand        
spurious,FALSE counterfeit          
august,majestic venerable          
undulate,to move in wavelike fashion fluctuate      
enunciate,pronounce (words)/express a theory      
inchoate,not yet fully formed rudimentary elementary      
machination,plot scheme (esp. evil)        
gossamer,soft light delicate material        
mercurial,quick changeable in character fleeting       
coerce,compel to force to make obedient      
eloquence,fluent speaking skillful use of language      
simper,(give a) silly/self-conscious smile      
alacrity,eager and cheerful readiness        
ostracism,shut out from society refuse to meet talk    
relapse,fall back again         
abacus,frame with balls for calculating       
enzyme,catalyst           
countervail,counterbalance           
seminal,like a seed constituting a source originative     
hubris,arrogant pride          
rejuvenation,becoming young in nature or appearance      
eschew,avoid         
sponge,porous rubber for washing live at once expense    
dubious,feeling doubt          
foment,put smth warm (to lessen the pain)     
expedient,likely to be useful for a purpose     
provoke,make angry vax         
provident,frugal looking to the future       
soggy,heavy with water         
attenuate,make thin. weaken enervate        
pith,essential part force soft liquid substance      
abide,be faithful to endure        
collusion,secret agreement for a deceitful purpose      
appease,make quiet or calm        
facile,easily done          
penchant,strong inclination a liking        
pied,of mixed colors         
excoriation,severe criticism          
brash,hasty rush cheeky saucy        
arrogance,proud superior manner of behaviour       
synopsis,summary or outline         
astute,clever quick at seeing to get an advantage    
clamor,shout complain with a lot of noise     
sordid,wretched comfortless contemptible         
decree,order given by authority        
reproach,scold upbraid          
macabre,gruesome suggesting death         
encomium,warm or glowing praise eulogy panegyric      
ostensible,seeming appearing as such professed       
luculent,easily understood lucid clear        
dismal,sad gloomy miserable         
bogus,sham counterfeit not genuine        
restive,refusing to move reluctant to be controlled     
misogynist,one who hates women/females        
turquoise,greenish-blue precious stone       
derogatory,insulting tending to damage        
riddle,puzzling person or thing      
engulf,swallow up          
trepidation,alarm excited state of mind       
inveigh,to attack verbally denounce deprecate       
fetter,to shackle put in chains       
myriad,very great number         
harbinger,smth or smb that foretells the coming of    
aloof,reserved indifferent          
rarefy,to make thin to make less dense to purify or refine 
counterfeit,forgery           
amortize,end (a debt) by setting aside money     
implicate,show that smb has a share      
placate,soothe pacify calm         
peripatetic,wandering           
meretricious,attractive on the surface but of little value    
incorrigibility,cannot be cured or corrected       
ascribe,consider to be the origin of or belonging to   
perfidious,treacherous faithless          
abut,border on          
presage,warning sign          
equanimity,calmness of temperament         
resort,to frequently visit         
aspersion,slander           
embellish,make beautiful          
grandiloquent,using pompous words       
finicky,finical           
imbroglio,complicated and embarrassing situation        
countenance,to favor or approve of       
sober,self-controlled           
luminary,star light-giving body         
cantankerous,bad-tempered/quarrelsome         
penury,extreme poverty          
equivocal,having a double or doubtful meaning suspicious     
irate,angry           
delineate,to portray depict sketch out       
lament,show feel great sorrow        
forbearance,patience willingness to wait        
heinous,odious (of crime)         
lugubrious,mournful excessively sad         
introspection,examining one's own thoughts and feelings      
highbrow,(person) with superior tastes      
colander,bowl-shaped vessel with many holes used to drain off water  
arrant,in the highest degree        
detraction,slandering verbal attack aspersion        
erudite,learned scholarly          
jabber,talk excitedly utter rapidly        
fidget,move restlessly make nervous        
credulity,too great a readiness to believe things     
molt,moult lose hair feathers before new growing     
bellicose,belligerent pugnacious warlike         
admonitory,containing warning          
slur,join sounds/words (indistinct)       
diatribe,bitter and violent attack in words      
extinct,no longer active         
vestige,trace or sign       
gloat,over look at with selfish delight      
indigenous,native           
tassel,bunch of threads       
mischievous,harmful causing mischief         
partisan,one-sided committed to a party biased or prejudiced    
flamboyant,brightly colored florid         
constrict,make tight or smaller        
craven,cowardly           
curriculum,course of study         
plethora,glut           
implacable,incapable of being placated unpleasable       
extempore,without previous thought or preparation     
repel,refuse to accept/cause dislike      
tamper,interfere with          
coalescing,coming together and uniting into one substance     
ambiguous,doubtful uncertain          
ominous,threatening         
streak,long thin move very fast       
infuriate,fill with fury or rage       
tadpole,form of a frog when it leaves the egg 
epitome,brief summary representative example a typical model     
perjury,willful FALSE statement unlawful act       
euphoria,elation state of pleasant excitement       
terse,brief and to the point       
striated,striped grooved or banded        
permeate,spread into every part of       
supplicate,make a humble petition to       
secular,material (not spiritual) living outside monasteries      
levee,formal reception/embankment        
premature,doing or happening smth before the right time    
upbraid,scold reproach          
obtrusive,projecting prominent undesirably noticeable        
parenthesis,sentence within another one smth separated      
implicit,implied though not plainly expressed       
diaphanous,transparent gauzy          
tonic,smth giving strength or energy       
officious,too eager or ready to help offer advice    
recant,take back as being FALSE give up     
fragile,easily injured broken or destroyed       
eddy,circular or spiral movement (e.g.. of wind)     
perfunctory,done as a duty without care      
rebuff,snub           
vigorous,strong energetic          
fragrant,sweet-smelling           
nibble,show some inclination to accept (an offer)     
lucubrate,write in scholarly fashion        
recreancy,cowardice a cowardly giving up       
embezzle,use in a wrong way for one's own benefit   
asterisk,the mark * (e.g.. omitted letters)      
obsequious,too eager to obey or serve      
sycophant,person who flatter to the rich and powerful    
inveterate,deep-rooted. long-established          
irresolute,hesitating undecided          
discountenance,refuse to approve of        
libel,statement that damages reputation        
malapropism,misuse of a word (for one that resembles it)   
chicanery,legal trickery/false argument       
abet,help/encourage smb (in doing wrong)     
turbid,muddy having the sediment stirred up      
jibe,gibe make fun of        
desiccant,substance used to absorb moisture       
perpetrate,be guilty commit (a crime)       
veracity,truth           
bilge,bulge the protuberance of a cask      
dearth,shortage           
suffocate,cause or have difficulty in breathing    
disdain,look on with contempt        
ascetic,practicing self-denial austere stark        
immaculate,pure faultless          
flax,pale yellow (hair) a plant       
impediment,smth that hinders (e.g. stammer)       
quiescence,state of being passive/motionless      
grave,serious requiring consideration         
expiation,ending expiring          
frenetic,frantic frenzied          
covert,disguised           
gnaw,waste away bite steadily        
susceptibility,sensitiveness           
rave,act with excessive enthusiasm      
ford,shallow place in a river (to cross)     
divergence,getting farther apart from a point      
vindictive,having a desire to revenge       
broach,bring up announce begin to talk about     
extort,obtain by threats violence        
inept,unskillful said or done at the wrong time    
undermine,weaken gradually at the base make smth under    
engrossing,taken up all the time or attention writing in large or formal
plea,request           
impromptu,without preparation          
entice,tempt or persuade       
limn,paint portray          
fringe,edge ornamental border part of hair over the forehead   
curtail,make shorter then was planned       
caustic,biting sarcastic          
epithet,adjective           
ire,anger           
manacle,chains for the hands or feet      
coy,shy/modest (esp of a girl)     
sanctimony,self-righteousness hypocritical with FALSE piety       
valiant,brave           
flaunting,show off complacently         
pariah,an outcast a rejected and despised person     
shard,piece of broken earthenware        
guile,deceit cunning          
dynamo,a generator something that produces electric current     
ubiquitous,present everywhere        
pucker,wrinkle         
minatory,menacing threatening          
subsume,include under a rule        
imperturbable,calm not capable of being excited      
incipient,beginning         
forgery,counterfeit           
commemorate,keep the memory of        
garment,article of clothing         
sever,break off        
frantic,wildly excited with joy pain anxiety      
inane,silly senseless          
extenuate,reduce the strength of lessen seriousness partially excuse    
matriculation,be admitted enter a university as a student    
resigned,unresisting submissive          
precursory,preliminary anticipating          
multifarious,varied motley greatly diversified        
scurvy,mean contemptible          
subdue,overcome bring under control        
fecund,fertile           
venal,ready to do smth dishonest       
indolence,laziness           
derision,ridicule mockery deriding         
stymie,to hinder obstruct or block       
stingy,spending using unwillingly         
aver,affirm assert prove justify        
stint,to be thrifty to set limits      
veritable,real rightly named         
irrevocable,final and unalterable         
pernicious,harmful injurious          
smolder,burn slowly without flame      
recitals,a number of performance of music      
macerate,make or become soft by soaking in water  
travesty,parody/imitation         
stride,walk with long steps        
latent,present but not yet active developed or visible    
decorum,propriety properness          
voluble,fluent           
deferential,showing respect          
jocular,meant as a joke        
tamp,tap or drive down by repeated light blows    
malleable,yielding easily shaped moldable adapting       
squander,spend wastefully          
piquant,agreeably pungent stimulating         
transient,temporary fleeting          
aversion,strong dislike          
contrite,filled with deep sorrow for wrongdoing      
render,deliver provide represent         
superfluous,more then is needed or wanted      
innocuous,causing no harm         
iconoclast,person who attacks popular beliefs       
prosaic,everyday mundane commonplace trite pedestrian       
mesmerize,hypnotize           
glut,supply to much fill to excess      
insipid,without taste or flavor        
insurrection,rising of people to open resistance to     
negligent,taking too little care        
massacre,cruel killing of a large number of people    
forage,food for horses and cattle     
roll,call calling of names        
remonstrate,to protest object         
asperity,roughness harshness ill temper irritability       
coagulation,change to a thick and solid state   
plead,address a court of law as an advocate    
ramify,to be divided or subdivided to branch out    
exigency,emergency an urgent situation        
insularity,narrow-mindedness isolated          
cursory,quick hurried          
arboreal,of connected with trees        
blandness,polite manner comforting uninteresting        
qualm,feeling of doubt temporary feeling of sickness     
lull,become quiet or less active       
talon,claw of a bird of prey      
impute,to attribute to a cause or source ascribe    
redoubtable,formidable causing fear         
idyll,a carefree episode or experience       
incongruous,out of place not in harmony or agreement    
commodious,having plenty of space for what is needed  
forbear,refrain from be patient ancestor       
snare,trap         
vitiate,lower the quality weaken the strength      
pivotal,of great importance (others depend on it)     
rancorous,feeling bitterness spitefulness         
reticent,reserved untalkative silent taciturn        
substantiation,giving facts to support (statement)     
expurgate,to remove obscenity purify censor       
adamant,kind of stone inflexible        
petrified,taken away power (to think feel act)     
fracas,noisy quarrel        
vigilant,member of a vigilance committee       
cling,to resist separation         
argot,jargon slang          
superimpose,put smth on the top       
insinuate,suggest unpleasantly make a way for smth gently    
assuage,make smth (pain desire) less       
quandary,state of doubt or perplexity     
egress,way out exit         
volubility,fluency verbosity easy use of spoken language     
baneful,causing harm or ruin pernicious destructive      
imprecation,an invocation of evil a curse      
hollow,not soled with hole        
deviance,being different in moral standards (from normal)     
dissemble,speak or behave so as to hide smth (in mind)  
chastened,corrected punished          
conundrum,a riddle dilemma enigma        
descry,catch sight of see smth in the distance    
immutable,that cannot be changed        
indigence,poverty           
retard,check hinder          
pine,waste away through sorrow or illness    
portent,omen marvelous threatening         
corroboration,additional strengthening evidence         
dissolution,disintegration looseness in morals        
soporific,producing sleep        
precarious,uncertain risky dangerous         
husk,worthless outside part of anything       
conviction,convincing firm belief         
buoyant,able to float light-hearted        
recuperate,become strong after illness loss exhaustion      
laudatory,expressing or giving praise        
perfidy,treachery breaking of faith        
summarily,briefly without delay         
articulate,speak distinctly connect by joints       
blithe,cheerful casual carefree         
inadvertent,not paying proper attention        
splice,join (two ends)         
solvent,of the power of forming a solution     
sullied,to be stained or discredited       
renowned,celebrated famous          
enmity,hatred being an enemy        
abjure,promise or swear to give up      
burnish,to polish rub to a shine      
submerge,put under water liquid sink out of sight    
haughty,arrogant conceited          
sagacious,having sound judgment perceptive wise like a sage    
